date,city,orders_delivered,potential,active_restaurants,daily_online_restaurants,daily_opening_hours,delivery_area_km2,order_distance_km,order_assign_to_restaurant_distance_km,order_restaurant_to_customer_distance_km,order_handling_time_mins,assign_time_mins,total_time_mins,working_hours,delivery_rating,delivery_time_target
2022-01-01,Munich,4518,5167,550,597,13.5,155.3,3.18,0.86,2.32,17.7,5,22.7,1979.2,3.6,30
2022-01-02,Munich,3835,4285,524,595,13.5,154.9,3.21,1.09,2.12,17.6,5,22.5,1780.7,3.7,30
2022-01-03,Munich,3261,3906,540,599,11.5,155,3.52,0.93,2.59,20,5.7,25.7,1603.4,3.3,30
2022-01-04,Munich,3279,4025,557,600,11.5,154.7,3.15,1.16,1.99,17.3,4.9,22.2,1498.4,3.7,30
2022-01-05,Munich,3322,4118,563,601,11.5,154.2,3.42,1.17,2.25,18.9,5.3,24.2,1496.5,3.6,30
2022-01-06,Munich,3853,4800,541,600,11.5,155.3,3.72,0.64,3.08,17.5,4.9,22.4,1819.2,3.7,30
2022-01-07,Munich,3966,4827,556,598,13.5,154.6,3.24,0.87,2.37,18.3,5.2,23.5,1789.3,3.6,30
2022-01-08,Munich,3742,4194,560,601,13.5,154.9,3.82,0.97,2.85,19.4,5.5,24.9,1784.1,3.5,30
2022-01-09,Munich,3930,4825,534,602,13.5,155.1,2.71,0.75,1.96,19.8,5.6,25.4,1757,3.5,30
2022-01-10,Munich,3245,3764,556,598,11.5,154,2.99,0.84,2.15,19.7,5.5,25.2,1543.5,3.5,30
2022-01-11,Munich,3223,3898,539,600,11.5,154.1,3.94,1.01,2.93,18.6,5.3,23.9,1551.9,3.6,30
2022-01-12,Munich,3244,3826,549,600,11.5,154.9,3.61,0.74,2.87,17.3,4.9,22.2,1433,3.7,30
2022-01-13,Munich,3103,3798,548,601,11.5,155.2,3.3,0.96,2.34,19,5.3,24.3,1433.6,3.6,30
2022-01-14,Munich,3720,4329,551,600,13.5,155.4,4.16,1.02,3.14,19.1,5.4,24.5,1783.7,3.5,30
